학교명,지역
치유상담대학원대학교,서울
능인대학원대학교,경기
구세군사관대학원대학교,경기
가야대학교,경남
국립암센터국제암대학원대학교,경기
군산간호대학교,전북
기독간호대학교,광주
서울여자간호대학교,서울
조선간호대학교,광주
한국농수산대학(일반),전북
한국에너지공과대학교,전남
